Fondsposition per,"11.Mär.2021"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"FOE","FERRO CORP","Aktien","0,14","18,06","107.543","1.942.227","1.942.226,58","Materialien","US3154051003","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"FBNC","FIRST BANCORP","Aktien","0,14","47,31","41.013","1.940.325","1.940.325,03","Financials","US3189101062","NASDAQ","Vereinigte Staaten","USD"
"OII","OCEANEERING INTERNATIONAL INC","Aktien","0,14","14,67","131.662","1.931.482","1.931.481,54","Energie","US6752321025","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"FBK","FB FINANCIAL CORP","Aktien","0,14","47,90","40.286","1.929.699","1.929.699,40","Financials","US30257X1046","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"AZZ","AZZ INC","Aktien","0,14","55,18","34.761","1.918.112","1.918.111,98","Industrie","US0024741045","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"IRT","INDEPENDENCE REALTY INC TRUST","Aktien","0,14","14,73","130.203","1.917.890","1.917.890,19","Immobilien","US45378A1060","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CYTK","CYTOKINETICS INC","Aktien","0,14","20,30","93.993","1.908.058","1.908.057,90","Gesundheitsversorgung","US23282W6057","NASDAQ","Vereinigte Staaten","USD"
"WIRE","ENCORE WIRE CORP","Aktien","0,14","70,22","27.079","1.901.487","1.901.487,38","Industrie","US2925621052","NASDAQ","Vereinigte Staaten","USD"
"HSC","HARSCO CORP","Aktien","0,14","17,93","105.588","1.893.193","1.893.192,84","Industrie","US4158641070","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"OPI","OFFICE PROPERTIES INCOME TRUST","Aktien","0,13","28,69","65.749","1.886.339","1.886.338,81","Immobilien","US67623C1099","NASDAQ","Vereinigte Staaten","USD"
"CHCO","CITY HOLDING","Aktien","0,13","85,74","21.775","1.866.989","1.866.988,50","Financials","US1778351056","NASDAQ","Vereinigte Staaten","USD"
"CATM","CARDTRONICS PLC CLASS A","Aktien","0,13","38,76","48.044","1.862.185","1.862.185,44","IT","GB00BYT18414","NASDAQ","Vereinigte Staaten","USD"
"SUPN","SUPERNUS PHARMACEUTICALS INC","Aktien","0,13","26,66","69.697","1.858.122","1.858.122,02","Gesundheitsversorgung","US8684591089","NASDAQ","Vereinigte Staaten","USD"
"LMNX","LUMINEX CORP","Aktien","0,13","32,45","57.087","1.852.473","1.852.473,15","Gesundheitsversorgung","US55027E1029","NASDAQ","Vereinigte Staaten","USD"
"PLUS","EPLUS","Aktien","0,13","102,69","17.988","1.847.188","1.847.187,72","IT","US2942681071","NASDAQ","Vereinigte Staaten","USD"
"TTMI","TTM TECHNOLOGIES INC","Aktien","0,13","14,40","128.256","1.846.886","1.846.886,40","IT","US87305R1095","NASDAQ","Vereinigte Staaten","USD"
"ECOL","US ECOLOGY INC","Aktien","0,13","43,59","42.335","1.845.383","1.845.382,65","Industrie","US91734M1036","NASDAQ","Vereinigte Staaten","USD"
"GIII","G III APPAREL GROUP LTD","Aktien","0,13","32,21","57.135","1.840.318","1.840.318,35","Zyklische Konsumgüter ","US36237H1014","NASDAQ","Vereinigte Staaten","USD"
"CLI","MACK-CALI REALTY REIT CORP","Aktien","0,13","15,99","114.755","1.834.932","1.834.932,45","Immobilien","US5544891048","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"UVV","UNIVERSAL CORP","Aktien","0,13","56,85","32.247","1.833.242","1.833.241,95","Nichtzyklische Konsumgüter","US9134561094","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"DIN","DINE BRANDS GLOBAL INC","Aktien","0,13","82,49","22.225","1.833.340","1.833.340,25","Zyklische Konsumgüter ","US2544231069","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"STBA","S AND T BANCORP INC","Aktien","0,13","34,08","53.783","1.832.925","1.832.924,64","Financials","US7838591011","NASDAQ","Vereinigte Staaten","USD"
"RGNX","REGENXBIO INC","Aktien","0,13","41,59","44.049","1.831.998","1.831.997,91","Gesundheitsversorgung","US75901B1070","NASDAQ","Vereinigte Staaten","USD"
"PNTG","PENNANT GROUP INC","Aktien","0,13","55,38","32.983","1.826.599","1.826.598,54","Gesundheitsversorgung","US70805E1091","NASDAQ","Vereinigte Staaten","USD"
"ENVA","ENOVA INTERNATIONAL INC","Aktien","0,13","39,92","45.689","1.823.905","1.823.904,88","Financials","US29357K1034","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"BRKL","BROOKLINE BANCORP INC","Aktien","0,13","16,03","113.082","1.812.704","1.812.704,46","Financials","US11373M1071","NASDAQ","Vereinigte Staaten","USD"
"NBHC","NATIONAL BANK HOLDINGS CORP CLASS","Aktien","0,13","41,90","43.104","1.806.058","1.806.057,60","Financials","US6337071046","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ALEX","ALEXANDER & BALDWIN INC","Aktien","0,13","18,40","97.972","1.802.685","1.802.684,80","Immobilien","US0144911049","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ACLS","AXCELIS TECHNOLOGIES INC","Aktien","0,13","39,82","45.253","1.801.974","1.801.974,46","IT","US0545402085","NASDAQ","Vereinigte Staaten","USD"
"DRQ","DRIL QUIP INC","Aktien","0,13","38,63","46.112","1.781.307","1.781.306,56","Energie","US2620371045","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"BANF","BANCFIRST CORP","Aktien","0,13","73,53","24.190","1.778.691","1.778.690,70","Financials","US05945F1030","NASDAQ","Vereinigte Staaten","USD"
"AXL","AMERICAN AXLE AND MANUFACTURING HO","Aktien","0,13","11,95","148.593","1.775.686","1.775.686,35","Zyklische Konsumgüter ","US0240611030","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"FLGT","FULGENT GENETICS INC","Aktien","0,13","102,29","17.261","1.765.628","1.765.627,69","Gesundheitsversorgung","US3596641098","NASDAQ","Vereinigte Staaten","USD"
"COKE","COCA COLA CONSOLIDATED INC","Aktien","0,13","288,98","6.099","1.762.489","1.762.489,02","Nichtzyklische Konsumgüter","US1910981026","NASDAQ","Vereinigte Staaten","USD"
"CVGW","CALAVO GROWERS INC","Aktien","0,12","80,42","21.602","1.737.233","1.737.232,84","Nichtzyklische Konsumgüter","US1282461052","NASDAQ","Vereinigte Staaten","USD"
"SSP","EW SCRIPPS CLASS A","Aktien","0,12","23,79","73.014","1.737.003","1.737.003,06","Kommunikation","US8110544025","NASDAQ","Vereinigte Staaten","USD"
"MLAB","MESA LABORATORIES INC","Aktien","0,12","268,40","6.461","1.734.132","1.734.132,40","Gesundheitsversorgung","US59064R1095","NASDAQ","Vereinigte Staaten","USD"
"SXI","STANDEX INTERNATIONAL CORP","Aktien","0,12","105,78","16.351","1.729.609","1.729.608,78","Industrie","US8542311076","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"AROC","ARCHROCK INC","Aktien","0,12","10,52","164.064","1.725.953","1.725.953,28","Energie","US03957W1062","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"STAR","ISTAR REIT INC","Aktien","0,12","17,78","96.906","1.722.989","1.722.988,68","Immobilien","US45031U1016","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MATW","MATTHEWS INTERNATIONAL CORP CLASS","Aktien","0,12","41,78","41.239","1.722.965","1.722.965,42","Industrie","US5771281012","NASDAQ","Vereinigte Staaten","USD"
"IPAR","INTER PARFUMS INC","Aktien","0,12","73,95","23.269","1.720.743","1.720.742,55","Nichtzyklische Konsumgüter","US4583341098","NASDAQ","Vereinigte Staaten","USD"
"CEVA","CEVA INC","Aktien","0,12","59,99","28.676","1.720.273","1.720.273,24","IT","US1572101053","NASDAQ","Vereinigte Staaten","USD"
"OFG","OFG BANCORP","Aktien","0,12","22,38","76.854","1.719.993","1.719.992,52","Financials","PR67103X1020","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"AMSF","AMERISAFE INC","Aktien","0,12","63,98","26.844","1.717.479","1.717.479,12","Financials","US03071H1005","NASDAQ","Vereinigte Staaten","USD"
"NTGR","NETGEAR INC","Aktien","0,12","42,83","40.059","1.715.727","1.715.726,97","IT","US64111Q1040","NASDAQ","Vereinigte Staaten","USD"
"FCF","FIRST COMMONWEALTH FINANCIAL CORP","Aktien","0,12","15,19","112.867","1.714.450","1.714.449,73","Financials","US3198291078","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"LNTH","LANTHEUS HOLDINGS INC","Aktien","0,12","19,65","87.122","1.711.947","1.711.947,30","Gesundheitsversorgung","US5165441032","NASDAQ","Vereinigte Staaten","USD"
"BJRI","BJS RESTAURANTS INC","Aktien","0,12","58,69","29.065","1.705.825","1.705.824,85","Zyklische Konsumgüter ","US09180C1062","NASDAQ","Vereinigte Staaten","USD"
"DBD","DIEBOLD NIXDORF INC","Aktien","0,12","16,74","101.093","1.692.297","1.692.296,82","IT","US2536511031","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SBSI","SOUTHSIDE BANCSHARES INC","Aktien","0,12","40,85","41.382","1.690.455","1.690.454,70","Financials","US84470P1093","NASDAQ","Vereinigte Staaten","USD"
"ECPG","ENCORE CAPITAL GROUP INC","Aktien","0,12","41,38","40.692","1.683.835","1.683.834,96","Financials","US2925541029","NASDAQ","Vereinigte Staaten","USD"
"BPFH","BOSTON PRIVATE FINANCIAL HOLDINGS","Aktien","0,12","14,84","113.377","1.682.515","1.682.514,68","Financials","US1011191053","NASDAQ","Vereinigte Staaten","USD"
"KRA","KRATON CORP","Aktien","0,12","40,64","41.396","1.682.333","1.682.333,44","Materialien","US50077C1062","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"FIZZ","NATIONAL BEVERAGE CORP","Aktien","0,12","55,11","30.414","1.676.116","1.676.115,54","Nichtzyklische Konsumgüter","US6350171061","NASDAQ","Vereinigte Staaten","USD"
"AGYS","AGILISYS INC","Aktien","0,12","61,25","27.333","1.674.146","1.674.146,25","IT","US00847J1051","NASDAQ","Vereinigte Staaten","USD"
"BHLB","BERKSHIRE HILLS BANCORP INC","Aktien","0,12","23,90","70.035","1.673.837","1.673.836,50","Financials","US0846801076","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"DNOW","NOW INC","Aktien","0,12","11,59","144.382","1.673.387","1.673.387,38","Industrie","US67011P1003","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SAFT","SAFETY INSURANCE GROUP INC","Aktien","0,12","84,49","19.553","1.652.033","1.652.032,97","Financials","US78648T1007","NASDAQ","Vereinigte Staaten","USD"
"HZO","MARINEMAX INC","Aktien","0,12","57,79","28.291","1.634.937","1.634.936,89","Zyklische Konsumgüter ","US5679081084","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"GCP","GCP APPLIED TECHNOLOGIES INC","Aktien","0,12","25,97","62.923","1.634.110","1.634.110,31","Materialien","US36164Y1010","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"RGR","STURM RUGER INC","Aktien","0,12","71,13","22.950","1.632.434","1.632.433,50","Zyklische Konsumgüter ","US8641591081","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"DHC","DIVERSIFIED HEALTHCARE TRUST","Aktien","0,12","5,20","313.785","1.631.682","1.631.682,00","Immobilien","US25525P1075","NASDAQ","Vereinigte Staaten","USD"
"CELH","CELSIUS HOLDINGS INC","Aktien","0,12","47,37","34.295","1.624.554","1.624.554,15","Nichtzyklische Konsumgüter","US15118V2079","NASDAQ","Vereinigte Staaten","USD"
"SAH","SONIC AUTOMOTIVE INC CLASS A","Aktien","0,12","52,85","30.686","1.621.755","1.621.755,10","Zyklische Konsumgüter ","US83545G1022","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"HA","HAWAIIAN HOLDINGS INC","Aktien","0,12","26,71","60.384","1.612.857","1.612.856,64","Industrie","US4198791018","NASDAQ","Vereinigte Staaten","USD"
"HFWA","HERITAGE FINANCIAL CORP","Aktien","0,11","29,90","53.283","1.593.162","1.593.161,70","Financials","US42722X1063","NASDAQ","Vereinigte Staaten","USD"
"GFF","GRIFFON CORP","Aktien","0,11","27,08","58.707","1.589.786","1.589.785,56","Industrie","US3984331021","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"QNST","QUINSTREET INC","Aktien","0,11","23,97","65.700","1.574.829","1.574.829,00","Kommunikation","US74874Q1004","NASDAQ","Vereinigte Staaten","USD"
"USNA","USANA HEALTH SCIENCES INC","Aktien","0,11","99,20","15.811","1.568.451","1.568.451,20","Nichtzyklische Konsumgüter","US90328M1071","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"BKE","BUCKLE INC","Aktien","0,11","40,67","38.496","1.565.632","1.565.632,32","Zyklische Konsumgüter ","US1184401065","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"BSIG","BRIGHTSPHERE INVESTMENT GROUP INC","Aktien","0,11","20,38","76.754","1.564.247","1.564.246,52","Financials","US10948W1036","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TUP","TUPPERWARE BRANDS CORP","Aktien","0,11","24,36","63.441","1.545.423","1.545.422,76","Zyklische Konsumgüter ","US8998961044","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MYRG","MYR GROUP INC","Aktien","0,11","69,78","21.827","1.523.088","1.523.088,06","Industrie","US55405W1045","NASDAQ","Vereinigte Staaten","USD"
"PLCE","CHILDRENS PLACE INC","Aktien","0,11","79,95","18.978","1.517.291","1.517.291,10","Zyklische Konsumgüter ","US1689051076","NASDAQ","Vereinigte Staaten","USD"
"BHE","BENCHMARK ELECTRONICS INC","Aktien","0,11","31,50","48.039","1.513.229","1.513.228,50","IT","US08160H1014","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MTSC","MTS SYSTEMS CORP","Aktien","0,11","58,30","25.526","1.488.166","1.488.165,80","IT","US5537771033","NASDAQ","Vereinigte Staaten","USD"
"RWT","REDWOOD TRUST REIT INC","Aktien","0,11","10,51","141.119","1.483.161","1.483.160,69","Financials","US7580754023","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NXGN","NEXTGEN HEALTHCARE INC","Aktien","0,11","20,05","73.808","1.479.850","1.479.850,40","Gesundheitsversorgung","US65343C1027","NASDAQ","Vereinigte Staaten","USD"
"EXTR","EXTREME NETWORKS INC","Aktien","0,11","9,39","157.481","1.478.747","1.478.746,59","IT","US30226D1063","NASDAQ","Vereinigte Staaten","USD"
"DCOM","DIME COMMUNITY BANCSHARES INC","Aktien","0,11","32,38","45.650","1.478.147","1.478.147,00","Financials","US25432X1028","NASDAQ","Vereinigte Staaten","USD"
"HIBB","HIBBETT SPORTS INC","Aktien","0,11","64,99","22.681","1.474.038","1.474.038,19","Zyklische Konsumgüter ","US4285671016","NASDAQ","Vereinigte Staaten","USD"
"EIG","EMPLOYERS HOLDINGS INC","Aktien","0,10","37,58","39.133","1.470.618","1.470.618,14","Financials","US2922181043","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"WNC","WABASH NATIONAL CORP","Aktien","0,10","20,26","72.358","1.465.973","1.465.973,08","Industrie","US9295661071","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SLP","SIMULATIONS PLUS INC","Aktien","0,10","71,94","20.336","1.462.972","1.462.971,84","Gesundheitsversorgung","US8292141053","NASDAQ","Vereinigte Staaten","USD"
"CHEF","CHEFS WAREHOUSE INC","Aktien","0,10","33,43","43.642","1.458.952","1.458.952,06","Nichtzyklische Konsumgüter","US1630861011","NASDAQ","Vereinigte Staaten","USD"
"SLCA","US SILICA HOLDINGS INC","Aktien","0,10","14,91","97.800","1.458.198","1.458.198,00","Energie","US90346E1038","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"APOG","APOGEE ENTERPRISES INC","Aktien","0,10","41,73","34.803","1.452.329","1.452.329,19","Industrie","US0375981091","NASDAQ","Vereinigte Staaten","USD"
"VECO","VEECO INSTRUMENTS INC","Aktien","0,10","22,70","63.958","1.451.847","1.451.846,60","IT","US9224171002","NASDAQ","Vereinigte Staaten","USD"
"QEP","QEP RESOURCES INC","Aktien","0,10","4,38","329.143","1.441.646","1.441.646,34","Energie","US74733V1008","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"INN","SUMMIT HOTEL PROPERTIES REIT INC","Aktien","0,10","10,71","134.146","1.436.704","1.436.703,66","Immobilien","US8660821005","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CYH","COMMUNITY HEALTH SYSTEMS INC","Aktien","0,10","9,84","145.696","1.433.649","1.433.648,64","Gesundheitsversorgung","US2036681086","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CTS","CTS CORP","Aktien","0,10","33,44","42.633","1.425.648","1.425.647,52","IT","US1265011056","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TMP","TOMPKINS FINANCIAL CORP","Aktien","0,10","90,86","15.677","1.424.412","1.424.412,22","Financials","US8901101092","Nyse Mkt Llc","Vereinigte Staaten","USD"
"ELF","ELF BEAUTY INC","Aktien","0,10","28,72","49.488","1.421.295","1.421.295,36","Nichtzyklische Konsumgüter","US26856L1035","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"GEO","GEO GROUP REIT INC","Aktien","0,10","7,98","177.519","1.416.602","1.416.601,62","Immobilien","US36162J1060","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CHCT","COMMUNITY HEALTHCARE TRUST INC","Aktien","0,10","46,62","30.202","1.408.017","1.408.017,24","Immobilien","US20369C1062","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"USCR","U S CONCRETE INC","Aktien","0,10","67,40","20.666","1.392.888","1.392.888,40","Materialien","US90333L2016","NASDAQ","Vereinigte Staaten","USD"
"PUMP","PROPETRO HOLDING CORP","Aktien","0,10","12,69","108.684","1.379.200","1.379.199,96","Energie","US74347M1080","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ICHR","ICHOR HOLDINGS LTD","Aktien","0,10","46,10","29.777","1.372.720","1.372.719,70","IT","KYG4740B1059","NASDAQ","Vereinigte Staaten","USD"
"HCC","WARRIOR MET COAL INC","Aktien","0,10","19,79","68.293","1.351.518","1.351.518,47","Materialien","US93627C1018","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SNEX","STONEX GROUP INC","Aktien","0,10","63,94","20.987","1.341.909","1.341.908,78","Financials","US8618961085","NASDAQ","Vereinigte Staaten","USD"
"NXRT","NEXPOINT RESIDENTIAL TRUST INC","Aktien","0,10","44,74","29.961","1.340.455","1.340.455,14","Immobilien","US65341D1028","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"VNDA","VANDA PHARMACEUTICALS INC","Aktien","0,10","17,88","74.830","1.337.960","1.337.960,40","Gesundheitsversorgung","US9216591084","NASDAQ","Vereinigte Staaten","USD"
"VIVO","MERIDIAN BIOSCIENCE INC","Aktien","0,10","23,80","55.920","1.330.896","1.330.896,00","Gesundheitsversorgung","US5895841014","NASDAQ","Vereinigte Staaten","USD"
"BOOM","DMC GLOBAL INC","Aktien","0,09","67,54","19.683","1.329.390","1.329.389,82","Energie","US23291C1036","NASDAQ","Vereinigte Staaten","USD"
"CRMT","AMERICAS CAR-MART INC","Aktien","0,09","159,24","8.306","1.322.647","1.322.647,44","Zyklische Konsumgüter ","US03062T1051","NASDAQ","Vereinigte Staaten","USD"
"CHRS","COHERUS BIOSCIENCES INC","Aktien","0,09","16,26","81.237","1.320.914","1.320.913,62","Gesundheitsversorgung","US19249H1032","NASDAQ","Vereinigte Staaten","USD"
"GES","GUESS INC","Aktien","0,09","26,91","49.055","1.320.070","1.320.070,05","Zyklische Konsumgüter ","US4016171054","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"RPT","RPT REALTY","Aktien","0,09","12,60","104.094","1.311.584","1.311.584,40","Immobilien","US74971D1019","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CXW","CORECIVIC REIT INC","Aktien","0,09","8,33","156.904","1.307.010","1.307.010,32","Industrie","US21871N1019","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"RDNT","RADNET INC","Aktien","0,09","23,56","55.315","1.303.221","1.303.221,40","Gesundheitsversorgung","US7504911022","NASDAQ","Vereinigte Staaten","USD"
"NP","NEENAH INC","Aktien","0,09","57,69","22.580","1.302.640","1.302.640,20","Materialien","US6400791090","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"GTY","GETTY REALTY REIT CORP","Aktien","0,09","28,56","45.565","1.301.336","1.301.336,40","Immobilien","US3742971092","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"HTLD","HEARTLAND EXPRESS INC","Aktien","0,09","19,39","65.876","1.277.336","1.277.335,64","Industrie","US4223471040","NASDAQ","Vereinigte Staaten","USD"
"TRHC","TABULA RASA HEALTHCARE INC","Aktien","0,09","44,14","28.897","1.275.514","1.275.513,58","Gesundheitsversorgung","US8733791011","NASDAQ","Vereinigte Staaten","USD"
"INGN","INOGEN INC","Aktien","0,09","51,37","24.788","1.273.360","1.273.359,56","Gesundheitsversorgung","US45780L1044","NASDAQ","Vereinigte Staaten","USD"
"MRTN","MARTEN TRANSPORT LTD","Aktien","0,09","17,13","74.252","1.271.937","1.271.936,76","Industrie","US5730751089","NASDAQ","Vereinigte Staaten","USD"
"ZUMZ","ZUMIEZ INC","Aktien","0,09","47,83","26.548","1.269.791","1.269.790,84","Zyklische Konsumgüter ","US9898171015","NASDAQ","Vereinigte Staaten","USD"
"OSPN","ONESPAN INC","Aktien","0,09","26,77","47.215","1.263.946","1.263.945,55","IT","US68287N1000","NASDAQ","Vereinigte Staaten","USD"
"CUBI","CUSTOMERS BANCORP INC","Aktien","0,09","30,89","40.835","1.261.393","1.261.393,15","Financials","US23204G1004","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TCMD","TACTILE SYSTEMS TECHNOLOGY INC","Aktien","0,09","50,55","24.895","1.258.442","1.258.442,25","Gesundheitsversorgung","US87357P1003","NASDAQ","Vereinigte Staaten","USD"
"CRY","CRYOLIFE INC","Aktien","0,09","25,03","49.989","1.251.225","1.251.224,67","Gesundheitsversorgung","US2289031005","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PFBC","PREFERRED BANK","Aktien","0,09","65,66","19.039","1.250.101","1.250.100,74","Financials","US7403674044","NASDAQ","Vereinigte Staaten","USD"
"CRVL","CORVEL CORP","Aktien","0,09","106,40","11.701","1.244.986","1.244.986,40","Gesundheitsversorgung","US2210061097","NASDAQ","Vereinigte Staaten","USD"
"GPRE","GREEN PLAINS INC","Aktien","0,09","27,43","45.221","1.240.412","1.240.412,03","Energie","US3932221043","NASDAQ","Vereinigte Staaten","USD"
"CSR","CENTERSPACE TRUST","Aktien","0,09","73,05","16.960","1.238.928","1.238.928,00","Immobilien","US15202L1070","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SPNT","SIRIUSPOINT LTD","Aktien","0,09","10,99","111.396","1.224.242","1.224.242,04","Financials","BMG8192H1060","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"VREX","VAREX IMAGING CORP","Aktien","0,09","24,01","50.931","1.222.853","1.222.853,31","Gesundheitsversorgung","US92214X1063","NASDAQ","Vereinigte Staaten","USD"
"CENX","CENTURY ALUMINUM","Aktien","0,09","19,05","63.858","1.216.495","1.216.494,90","Materialien","US1564311082","NASDAQ","Vereinigte Staaten","USD"
"HMST","HOMESTREET INC","Aktien","0,09","48,98","24.685","1.209.071","1.209.071,30","Financials","US43785V1026","NASDAQ","Vereinigte Staaten","USD"
"BANC","BANC OF CALIFORNIA INC","Aktien","0,09","20,96","57.500","1.205.200","1.205.200,00","Financials","US05990K1060","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TGI","TRIUMPH GROUP INC","Aktien","0,09","17,61","68.340","1.203.467","1.203.467,40","Industrie","US8968181011","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TVTY","TIVITY HEALTH INC","Aktien","0,09","24,35","49.269","1.199.700","1.199.700,15","Gesundheitsversorgung","US88870R1023","NASDAQ","Vereinigte Staaten","USD"
"NTUS","NATUS MEDICAL INC","Aktien","0,09","26,54","45.106","1.197.113","1.197.113,24","Gesundheitsversorgung","US6390501038","NASDAQ","Vereinigte Staaten","USD"
"HLX","HELIX ENERGY SOLUTIONS GROUP INC","Aktien","0,09","6,46","185.077","1.195.597","1.195.597,42","Energie","US42330P1075","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"VVI","VIAD CORP","Aktien","0,09","44,54","26.812","1.194.206","1.194.206,48","Industrie","US92552R4065","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ENTA","ENANTA PHARMACEUTICALS INC","Aktien","0,09","52,08","22.903","1.192.788","1.192.788,24","Gesundheitsversorgung","US29251M1062","NASDAQ","Vereinigte Staaten","USD"
"UHT","UNIVERSAL HEALTH REALTY INCOME TRU","Aktien","0,08","71,12","16.664","1.185.144","1.185.143,68","Immobilien","US91359E1055","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NX","QUANEX BUILDING PRODUCTS CORP","Aktien","0,08","26,98","43.909","1.184.665","1.184.664,82","Industrie","US7476191041","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ADTN","ADTRAN INC","Aktien","0,08","18,06","65.231","1.178.072","1.178.071,86","IT","US00738A1060","NASDAQ","Vereinigte Staaten","USD"
"SCHL","SCHOLASTIC CORP","Aktien","0,08","30,46","38.643","1.177.066","1.177.065,78","Kommunikation","US8070661058","NASDAQ","Vereinigte Staaten","USD"
"HNGR","HANGER INC","Aktien","0,08","23,77","49.458","1.175.617","1.175.616,66","Gesundheitsversorgung","US41043F2083","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MCRI","MONARCH CASINO AND RESORT INC","Aktien","0,08","69,75","16.818","1.173.056","1.173.055,50","Zyklische Konsumgüter ","US6090271072","NASDAQ","Vereinigte Staaten","USD"
"FDP","FRESH DEL MONTE PRODUCE INC","Aktien","0,08","30,20","38.757","1.170.461","1.170.461,40","Nichtzyklische Konsumgüter","KYG367381053","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CBB","CINCINNATI BELL INC","Aktien","0,08","15,35","75.602","1.160.491","1.160.490,70","Kommunikation","US1718715022","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PRDO","PERDOCEO EDUCATION CORP","Aktien","0,08","12,63","91.763","1.158.508","1.158.507,88","Zyklische Konsumgüter ","US71363P1066","NASDAQ","Vereinigte Staaten","USD"
"ANDE","ANDERSONS INC","Aktien","0,08","30,17","38.375","1.157.774","1.157.773,75","Nichtzyklische Konsumgüter","US0341641035","NASDAQ","Vereinigte Staaten","USD"
"OFIX","ORTHOFIX MEDICAL INC","Aktien","0,08","46,53","24.801","1.153.991","1.153.990,53","Gesundheitsversorgung","US68752M1080","NASDAQ","Vereinigte Staaten","USD"
"MGPI","MGP INGREDIENTS INC","Aktien","0,08","66,42","17.333","1.151.258","1.151.257,86","Nichtzyklische Konsumgüter","US55303J1060","NASDAQ","Vereinigte Staaten","USD"
"MMI","MARCUS & MILLICHAP INC","Aktien","0,08","34,27","33.590","1.151.129","1.151.129,30","Immobilien","US5663241090","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CPF","CENTRAL PACIFIC FINANCIAL CORP","Aktien","0,08","26,44","43.531","1.150.960","1.150.959,64","Financials","US1547604090","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ANGO","ANGIODYNAMICS INC","Aktien","0,08","22,73","50.266","1.142.546","1.142.546,18","Gesundheitsversorgung","US03475V1017","NASDAQ","Vereinigte Staaten","USD"
