Fondsposition per,"11.Mär.2021"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"FORM","FORMFACTOR INC","Aktien","0,33","45,30","101.424","4.594.507","4.594.507,20","IT","US3463751087","NASDAQ","Vereinigte Staaten","USD"
"ABM","ABM INDUSTRIES INC","Aktien","0,32","51,54","88.029","4.537.015","4.537.014,66","Industrie","US0009571003","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NSIT","INSIGHT ENTERPRISES INC","Aktien","0,32","96,76","46.772","4.525.659","4.525.658,72","IT","US45765U1034","NASDAQ","Vereinigte Staaten","USD"
"IRBT","IROBOT CORP","Aktien","0,32","121,83","36.842","4.488.461","4.488.460,86","Zyklische Konsumgüter ","US4627261005","NASDAQ","Vereinigte Staaten","USD"
"FN","FABRINET","Aktien","0,32","92,05","48.686","4.481.546","4.481.546,30","IT","KYG3323L1005","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MTH","MERITAGE CORP","Aktien","0,32","90,50","49.480","4.477.940","4.477.940,00","Zyklische Konsumgüter ","US59001A1025","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ONB","OLD NATIONAL BANCORP","Aktien","0,32","20,48","217.766","4.459.848","4.459.847,68","Financials","US6800331075","NASDAQ","Vereinigte Staaten","USD"
"AJRD","AEROJET ROCKETDYNE HOLDINGS INC","Aktien","0,32","47,00","94.884","4.459.548","4.459.548,00","Industrie","US0078001056","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Aktien","0,32","121,84","36.555","4.453.861","4.453.861,20","Industrie","US9427491025","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MATX","MATSON INC","Aktien","0,32","77,51","57.447","4.452.717","4.452.716,97","Industrie","US57686G1058","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CVET","COVETRUS INC","Aktien","0,32","33,54","132.719","4.451.395","4.451.395,26","Gesundheitsversorgung","US22304C1009","NASDAQ","Vereinigte Staaten","USD"
"MDC","MDC HOLDINGS INC","Aktien","0,32","60,00","73.757","4.425.420","4.425.420,00","Zyklische Konsumgüter ","US5526761086","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"WWW","WOLVERINE WORLD WIDE INC","Aktien","0,31","39,71","109.305","4.340.502","4.340.501,55","Zyklische Konsumgüter ","US9780971035","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ALGT","ALLEGIANT TRAVEL","Aktien","0,31","251,13","17.206","4.320.943","4.320.942,78","Industrie","US01748X1028","NASDAQ","Vereinigte Staaten","USD"
"KWR","QUAKER CHEMICAL CORP","Aktien","0,31","248,07","17.368","4.308.480","4.308.479,76","Materialien","US7473161070","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"EAT","BRINKER INTERNATIONAL INC","Aktien","0,31","73,10","58.869","4.303.324","4.303.323,90","Zyklische Konsumgüter ","US1096411004","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"HMSY","HMS HOLDINGS CORP","Aktien","0,30","36,78","116.029","4.267.547","4.267.546,62","Gesundheitsversorgung","US40425J1016","NASDAQ","Vereinigte Staaten","USD"
"RCM","R1 RCM INC","Aktien","0,30","27,85","153.226","4.267.344","4.267.344,10","Gesundheitsversorgung","US7493971052","NASDAQ","Vereinigte Staaten","USD"
"UCBI","UNITED COMMUNITY BANKS INC","Aktien","0,30","35,75","118.412","4.233.229","4.233.229,00","Financials","US90984P3038","NASDAQ","Vereinigte Staaten","USD"
"INDB","INDEPENDENT BANK CORP","Aktien","0,30","97,24","43.419","4.222.064","4.222.063,56","Financials","US4538361084","NASDAQ","Vereinigte Staaten","USD"
"PCRX","PACIRA BIOSCIENCES INC","Aktien","0,30","73,00","57.546","4.200.858","4.200.858,00","Gesundheitsversorgung","US6951271005","NASDAQ","Vereinigte Staaten","USD"
"WD","WALKER & DUNLOP INC","Aktien","0,30","108,67","38.524","4.186.403","4.186.403,08","Financials","US93148P1021","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ITGR","INTEGER HOLDINGS CORP","Aktien","0,30","95,66","43.522","4.163.315","4.163.314,52","Gesundheitsversorgung","US45826H1095","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"FUL","HB FULLER","Aktien","0,30","60,10","69.006","4.147.261","4.147.260,60","Materialien","US3596941068","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"LXP","LEXINGTON REALTY TRUST REIT","Aktien","0,30","11,09","372.754","4.133.842","4.133.841,86","Immobilien","US5290431015","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SIG","SIGNET JEWELERS LTD","Aktien","0,29","58,51","70.193","4.106.992","4.106.992,43","Zyklische Konsumgüter ","BMG812761002","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CVBF","CVB FINANCIAL CORP","Aktien","0,29","24,35","167.771","4.085.224","4.085.223,85","Financials","US1266001056","NASDAQ","Vereinigte Staaten","USD"
"ONTO","ONTO INNOVATION INC","Aktien","0,29","64,11","63.574","4.075.729","4.075.729,14","IT","US6833441057","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ACA","ARCOSA INC","Aktien","0,29","63,98","63.671","4.073.671","4.073.670,58","Industrie","US0396531008","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ROCK","GIBRALTAR INDUSTRIES INC","Aktien","0,29","93,93","43.336","4.070.550","4.070.550,48","Industrie","US3746891072","NASDAQ","Vereinigte Staaten","USD"
"SHOO","STEVEN MADDEN LTD","Aktien","0,29","39,82","101.893","4.057.379","4.057.379,26","Zyklische Konsumgüter ","US5562691080","NASDAQ","Vereinigte Staaten","USD"
"TRUP","TRUPANION INC","Aktien","0,29","94,51","42.856","4.050.321","4.050.320,56","Financials","US8982021060","NASDAQ","Vereinigte Staaten","USD"
"LGIH","LGI HOMES INC","Aktien","0,29","138,41","29.100","4.027.731","4.027.731,00","Zyklische Konsumgüter ","US50187T1060","NASDAQ","Vereinigte Staaten","USD"
"DORM","DORMAN PRODUCTS INC","Aktien","0,29","106,25","37.891","4.025.919","4.025.918,75","Zyklische Konsumgüter ","US2582781009","NASDAQ","Vereinigte Staaten","USD"
"BMI","BADGER METER INC","Aktien","0,29","104,14","38.550","4.014.597","4.014.597,00","IT","US0565251081","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"EXLS","EXLSERVICE HOLDINGS INC","Aktien","0,29","89,94","44.611","4.012.313","4.012.313,34","IT","US3020811044","NASDAQ","Vereinigte Staaten","USD"
"RCII","RENT-A-CENTER INC","Aktien","0,29","61,97","64.554","4.000.411","4.000.411,38","Zyklische Konsumgüter ","US76009N1000","NASDAQ","Vereinigte Staaten","USD"
"ARNC","ARCONIC CORP","Aktien","0,28","31,05","127.744","3.966.451","3.966.451,20","Materialien","US03966V1070","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MED","MEDIFAST INC","Aktien","0,28","256,94","15.372","3.949.682","3.949.681,68","Nichtzyklische Konsumgüter","US58470H1014","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"FELE","FRANKLIN ELECTRIC INC","Aktien","0,28","79,12","49.845","3.943.736","3.943.736,40","Industrie","US3535141028","NASDAQ","Vereinigte Staaten","USD"
"AAON","AAON INC","Aktien","0,28","73,36","53.736","3.942.073","3.942.072,96","Industrie","US0003602069","NASDAQ","Vereinigte Staaten","USD"
"AVA","AVISTA CORP","Aktien","0,28","43,13","91.229","3.934.707","3.934.706,77","Versorger","US05379B1070","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CADE","CADENCE BANCORPORATION CLASS A","Aktien","0,28","23,33","167.998","3.919.393","3.919.393,34","Financials","US12739A1007","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"GPI","GROUP AUTOMOTIVE INC","Aktien","0,28","172,14","22.602","3.890.708","3.890.708,28","Zyklische Konsumgüter ","US3989051095","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"KLIC","KULICKE AND SOFFA INDUSTRIES INC","Aktien","0,28","46,84","82.607","3.869.312","3.869.311,88","IT","US5012421013","NASDAQ","Vereinigte Staaten","USD"
