Fondsposition per,"11.Mär.2021"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"EDPR","EDP RENOVAVEIS SA","Aktien","0,96","18,20","281.205","5.117.931","5.117.931,00","Versorger","ES0127797019","Nyse Euronext - Euronext Lisbon","Portugal","EUR"
"PROX","PROXIMUS NV","Aktien","0,94","17,10","291.478","4.984.274","4.984.273,80","Kommunikation","BE0003810273","Nyse Euronext - Euronext Brussels","Belgien","EUR"
"ELIS","ELIS SA","Aktien","0,94","14,81","336.113","4.977.834","4.977.833,53","Industrie","FR0012435121","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"VPK","KONINKLIJKE VOPAK NV","Aktien","0,92","41,07","119.297","4.899.528","4.899.527,79","Energie","NL0009432491","Euronext Amsterdam","Niederlande","EUR"
"ILD","ILIAD SA","Aktien","0,92","154,90","31.629","4.899.332","4.899.332,10","Kommunikation","FR0004035913","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"SESG","SES SA FDR","Aktien","0,92","6,82","712.828","4.864.338","4.864.338,27","Kommunikation","LU0088087324","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"SPIE","SPIE SA","Aktien","0,90","19,62","242.917","4.766.032","4.766.031,54","Industrie","FR0012757854","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"IG","ITALGAS","Aktien","0,89","5,22","910.067","4.750.550","4.750.549,74","Versorger","IT0005211237","Borsa Italiana","Italien","EUR"
"FNTN","FREENET AG","Aktien","0,89","19,92","238.456","4.750.044","4.750.043,52","Kommunikation","DE000A0Z2ZZ5","Xetra","Deutschland","EUR"
"SAB","BANCO DE SABADELL SA","Aktien","0,89","0,45","10.497.658","4.745.991","4.745.991,18","Financials","ES0113860A34","Bolsa De Madrid","Spanien","EUR"
"JDEP","JDE PEETS NV","Aktien","0,89","30,72","154.147","4.735.396","4.735.395,84","Nichtzyklische Konsumgüter","NL0014332678","Euronext Amsterdam","Niederlande","EUR"
"AOX","ALSTRIA OFFICE REIT AG","Aktien","0,88","14,08","330.204","4.649.272","4.649.272,32","Immobilien","DE000A0LD2U1","Xetra","Deutschland","EUR"
"COLR","ETABLISSEMENTEN FRANZ COLRUYT NV","Aktien","0,87","49,47","93.360","4.618.519","4.618.519,20","Nichtzyklische Konsumgüter","BE0974256852","Nyse Euronext - Euronext Brussels","Belgien","EUR"
"HER","HERA","Aktien","0,87","3,11","1.481.071","4.606.131","4.606.130,81","Versorger","IT0001250932","Borsa Italiana","Italien","EUR"
"IPN","IPSEN SA","Aktien","0,87","67,80","67.795","4.596.501","4.596.501,00","Gesundheitsversorgung","FR0010259150","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"CNP","CNP ASSURANCES SA","Aktien","0,87","16,48","278.770","4.594.130","4.594.129,60","Financials","FR0000120222","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"RBI","RAIFFEISEN BANK INTERNATIONAL AG","Aktien","0,85","17,94","252.554","4.530.819","4.530.818,76","Financials","AT0000606306","Wiener Boerse Ag","Österreich","EUR"
"GXI","GERRESHEIMER AG","Aktien","0,84","85,00","52.502","4.462.670","4.462.670,00","Gesundheitsversorgung","DE000A0LD6E6","Xetra","Deutschland","EUR"
"SBMO","SBM OFFSHORE NV","Aktien","0,82","15,65","278.699","4.361.639","4.361.639,35","Energie","NL0000360618","Euronext Amsterdam","Niederlande","EUR"
"A2A","A2A","Aktien","0,82","1,48","2.920.094","4.330.499","4.330.499,40","Versorger","IT0001233417","Borsa Italiana","Italien","EUR"
"CRBN","CORBION NV","Aktien","0,80","45,35","93.641","4.246.619","4.246.619,35","Materialien","NL0010583399","Euronext Amsterdam","Niederlande","EUR"
"GL9","GLANBIA PLC","Aktien","0,78","11,18","372.385","4.163.264","4.163.264,30","Nichtzyklische Konsumgüter","IE0000669501","Irish Stock Exchange - All Market","Irland","EUR"
"VIS","VISCOFAN SA","Aktien","0,78","58,20","71.066","4.136.041","4.136.041,20","Nichtzyklische Konsumgüter","ES0184262212","Bolsa De Madrid","Spanien","EUR"
"GYC","GRAND CITY PROPERTIES SA","Aktien","0,78","20,90","197.104","4.119.474","4.119.473,60","Immobilien","LU0775917882","Xetra","Deutschland","EUR"
"SOP","SOPRA STERIA GROUP","Aktien","0,77","138,00","29.722","4.101.636","4.101.636,00","IT","FR0000050809","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"AM","DASSAULT AVIATION SA","Aktien","0,77","944,50","4.339","4.098.186","4.098.185,50","Industrie","FR0000121725","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"COL","INMOBILIARIA COLONIAL SA","Aktien","0,76","8,20","493.071","4.043.182","4.043.182,20","Immobilien","ES0139140174","Bolsa De Madrid","Spanien","EUR"
"O2D","TELEFONICA DEUTSCHLAND HOLDING AG","Aktien","0,76","2,37","1.709.488","4.042.939","4.042.939,12","Kommunikation","DE000A1J5RX9","Xetra","Deutschland","EUR"
"ADJ","ADO PROPERTIES","Aktien","0,71","24,82","152.017","3.773.062","3.773.061,94","Immobilien","LU1250154413","Xetra","Deutschland","EUR"
"VAR1","VARTA AG","Aktien","0,68","114,90","31.519","3.621.533","3.621.533,10","Industrie","DE000A0TGJ55","Xetra","Deutschland","EUR"
"ICAD","ICADE REIT SA","Aktien","0,67","62,10","57.480","3.569.508","3.569.508,00","Immobilien","FR0000035081","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"WAF","SILTRONIC N AG","Aktien","0,44","140,15","16.571","2.322.426","2.322.425,65","IT","DE000WAF3001","Xetra","Deutschland","EUR"
"EUR","EUR CASH","Geldmarkt","0,34","100,00","1.803.418","1.803.418","1.803.417,97","Cash und/oder Derivate","-","-","Europäische Union","EUR"
"ICSEAGD","BLK ICS EUR LIQ FUND AGEN ACC T0","Money Market","0,08","99,00","4.316","427.284","427.284,15","Cash und/oder Derivate","IE00B568BM13","-","Irland","EUR"
"BZFUT","CASH COLLATERAL EUR BZFUT","Cash Collateral and Margins","0,04","100,00","216.440","216.440","216.440,00","Cash und/oder Derivate","-","-","Europäische Union","EUR"
"GBP","GBP CASH","Geldmarkt","0,03","116,79","113.781","132.888","132.887,61","Cash und/oder Derivate","-","-","Vereinigtes Königreich","GBP"
"USD","USD CASH","Geldmarkt","0,01","83,61","50.197","41.969","41.968,68","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"VGH1","EURO STOXX 50 MAR 21","Futures","0,00","3.844,00","64","0","2.460.160,00","Cash und/oder Derivate","DE000C31Y1X2","Eurex Deutschland","Europäische Union","EUR"
 
